chateau_name,appellation,search_name_ascii,search_name_kana,notes
CHÂTEAU LAFITE ROTHSCHILD,PAUILLAC,CHATEAU LAFITE ROTHSCHILD,シャトー ラフィット ロートシルト,1ER CRU CLASSE
CHÂTEAU LATOUR,PAUILLAC,CHATEAU LATOUR,シャトー ラトゥール,1ER CRU CLASSE
CHÂTEAU MARGAUX,MARGAUX,CHATEAU MARGAUX,シャトー マルゴー,1ER CRU CLASSE
CHÂTEAU MOUTON ROTHSCHILD,PAUILLAC,CHATEAU MOUTON ROTHSCHILD,シャトー ムートン ロートシルト,1ER CRU CLASSE
CHÂTEAU HAUT-BRION,PESSAC-LÉOGNAN,CHATEAU HAUT-BRION,シャトー オー ブリオン,1ER CRU CLASSE
CHÂTEAU RAUZAN-SÉGLA,MARGAUX,CHATEAU RAUZAN-SEGLA,シャトー ローザン セグラ,2EME CRU CLASSE
CHÂTEAU RAUZAN-GASSIES,MARGAUX,CHATEAU RAUZAN-GASSIES,シャトー ローザン ガシー,2EME CRU CLASSE
CHÂTEAU LÉOVILLE LAS CASES,SAINT-JULIEN,CHATEAU LEOVILLE LAS CASES,シャトー レオヴィル ラス カーズ,2EME CRU CLASSE
CHÂTEAU LÉOVILLE POYFERRÉ,SAINT-JULIEN,CHATEAU LEOVILLE POYFERRE,シャトー レオヴィル ポワフェレ,2EME CRU CLASSE
CHÂTEAU LÉOVILLE BARTON,SAINT-JULIEN,CHATEAU LEOVILLE BARTON,シャトー レオヴィル バルトン,2EME CRU CLASSE
CHÂTEAU DURFORT-VIVENS,MARGAUX,CHATEAU DURFORT-VIVENS,シャトー デュルフォール ヴィヴァン,2EME CRU CLASSE
CHÂTEAU GRUAUD LAROSE,SAINT-JULIEN,CHATEAU GRUAUD LAROSE,シャトー グリュオ ラローズ,2EME CRU CLASSE
CHÂTEAU LASCOMBES,MARGAUX,CHATEAU LASCOMBES,シャトー ラスコンブ,2EME CRU CLASSE
CHÂTEAU BRANE-CANTENAC,MARGAUX,CHATEAU BRANE-CANTENAC,シャトー ブラーヌ カントナック,2EME CRU CLASSE
CHÂTEAU PICHON-LONGUEVILLE BARON,PAUILLAC,CHATEAU PICHON-LONGUEVILLE BARON,シャトー ピション ロングヴィル バロン,2EME CRU CLASSE
CHÂTEAU PICHON LONGUEVILLE COMTESSE DE LALANDE,PAUILLAC,CHATEAU PICHON LONGUEVILLE COMTESSE DE LALANDE,シャトー ピション ロングヴィル コンテス ド ラランド,2EME CRU CLASSE
