chateau_name,appellation,search_name_ascii,search_name_kana,notes
CHÂTEAU LAFITE ROTHSCHILD,PAUILLAC,CARRUADES DE LAFITE,カリュアド ド ラフィット,SECOND WINE
CHÂTEAU LATOUR,PAUILLAC,LES FORTS DE LATOUR,レ フォール ド ラトゥール,SECOND WINE
CHÂTEAU LATOUR,PAUILLAC,LE PAUILLAC DE CHATEAU LATOUR,ル ポイヤック ド シャトー ラトゥール,THIRD WINE
CHÂTEAU MARGAUX,MARGAUX,PAVILLON ROUGE DU CHATEAU MARGAUX,パヴィヨン ルージュ デュ シャトー マルゴー,SECOND WINE
CHÂTEAU MARGAUX,MARGAUX,MARGAUX DE CHATEAU MARGAUX,マルゴー ド シャトー マルゴー,THIRD WINE
CHÂTEAU MOUTON ROTHSCHILD,PAUILLAC,LE PETIT MOUTON DE MOUTON ROTHSCHILD,ル プティ ムートン ド ムートン ロートシルト,SECOND WINE
CHÂTEAU HAUT-BRION,PESSAC-LÉOGNAN,LE CLARENCE DE HAUT-BRION,ル クラランス ド オー ブリオン,SECOND WINE
CHÂTEAU RAUZAN-SÉGLA,MARGAUX,SEGUR DE RAUZAN-SEGLA,セグラ ド ローザン セグラ,SECOND WINE
CHÂTEAU LÉOVILLE LAS CASES,SAINT-JULIEN,LE PETIT LION DU MARQUIS DE LAS CASES,ル プティ リオン デュ マルキ ド ラス カーズ,SECOND WINE
CHÂTEAU LÉOVILLE LAS CASES,SAINT-JULIEN,CLOS DU MARQUIS,クロ デュ マルキ,SECOND WINE (HISTORICAL)
CHÂTEAU LÉOVILLE POYFERRÉ,SAINT-JULIEN,PAVILLON DE LEOVILLE POYFERRE,パヴィヨン ド レオヴィル ポワフェレ,SECOND WINE
CHÂTEAU LÉOVILLE BARTON,SAINT-JULIEN,LA RESERVE DE LEOVILLE BARTON,ラ レゼルヴ ド レオヴィル バルトン,SECOND WINE
CHÂTEAU PICHON-LONGUEVILLE BARON,PAUILLAC,LES GRIFFONS DE PICHON BARON,レ グリフォン ド ピション バロン,SECOND WINE
CHÂTEAU PICHON-LONGUEVILLE BARON,PAUILLAC,LES TOURELLES DE LONGUEVILLE,レ トゥーレル ド ロングヴィル,SECOND WINE
CHÂTEAU PICHON LONGUEVILLE COMTESSE DE LALANDE,PAUILLAC,RESERVE DE LA COMTESSE,レゼルヴ ド ラ コンテス,SECOND WINE
CHÂTEAU DUCRU-BEAUCAILLOU,SAINT-JULIEN,LA CROIX DE BEAUCAILLOU,ラ クロワ ド ボーカイユ,SECOND WINE
CHÂTEAU DUCRU-BEAUCAILLOU,SAINT-JULIEN,LE PETIT DUCRU DE DUCRU-BEAUCAILLOU,ル プティ デュクリュ ド デュクリュ ボーカイユ,THIRD WINE
CHÂTEAU COS D'ESTOURNEL,SAINT-ESTÈPHE,LES PAGODES DE COS,レ パゴド ド コス,SECOND WINE
CHÂTEAU MONTROSE,SAINT-ESTÈPHE,LA DAME DE MONTROSE,ラ ダーム ド モンローズ,SECOND WINE
CHÂTEAU CALON-SÉGUR,SAINT-ESTÈPHE,MARQUIS DE CALON SEGUR,マルキ ド カロン セギュール,SECOND WINE
CHÂTEAU CALON-SÉGUR,SAINT-ESTÈPHE,SAINT ESTEPHE DE CALON SEGUR,サン テステフ ド カロン セギュール,THIRD WINE
CHÂTEAU LYNCH-BAGES,PAUILLAC,ECHO DE LYNCH BAGES,エコー ド ランシュ バージュ,SECOND WINE
CHÂTEAU PALMER,MARGAUX,ALTER EGO DE PALMER,アルテル エゴ ド パルメ,SECOND WINE
CHÂTEAU GISCOURS,MARGAUX,LA SIRENE DE GISCOURS,ラ シレーヌ ド ジスクール,SECOND WINE
CHÂTEAU LAGRANGE,SAINT-JULIEN,LES FIEFS DE LAGRANGE,レ フィエフ ド ラグランジュ,SECOND WINE
CHÂTEAU TALBOT,SAINT-JULIEN,CONNETABLE DE TALBOT,コネターブル ド タルボ,SECOND WINE
CHÂTEAU BEYCHEVELLE,SAINT-JULIEN,AMIRAL DE BEYCHEVELLE,アミラル ド ベイシュヴェル,SECOND WINE
CHÂTEAU PONTET-CANET,PAUILLAC,HAUTS DE PONTET-CANET,オー ド ポンテ カネ,SECOND WINE
CHÂTEAU GRAND-PUY-LACOSTE,PAUILLAC,LACOSTE BORIE,ラコスト ボリー,SECOND WINE
