chateau_name,appellation,search_name_ascii,search_name_kana,notes
CHÂTEAU D’AGASSAC,HAUT-MÉDOC,CHATEAU D'AGASSAC,シャトー ダガサック,CRU BOURGEOIS EXCEPTIONNEL
CHÂTEAU ARNAULD,HAUT-MÉDOC,CHATEAU ARNAULD,シャトー アルノー,CRU BOURGEOIS EXCEPTIONNEL
CHÂTEAU BELLE-VUE,HAUT-MÉDOC,CHATEAU BELLE-VUE,シャトー ベルヴュー,CRU BOURGEOIS EXCEPTIONNEL
CHÂTEAU CAMBON LA PELOUSE,HAUT-MÉDOC,CHATEAU CAMBON LA PELOUSE,シャトー カンボン ラ プルーズ,CRU BOURGEOIS EXCEPTIONNEL
CHÂTEAU CHARMAIL,HAUT-MÉDOC,CHATEAU CHARMAIL,シャトー シャルマイユ,CRU BOURGEOIS EXCEPTIONNEL
CHÂTEAU MALESCASSE,HAUT-MÉDOC,CHATEAU MALESCASSE,シャトー マレスカス,CRU BOURGEOIS EXCEPTIONNEL
CHÂTEAU DE MALLERET,HAUT-MÉDOC,CHATEAU DE MALLERET,シャトー ド マルレ,CRU BOURGEOIS EXCEPTIONNEL
CHÂTEAU DU TAILLAN,HAUT-MÉDOC,CHATEAU DU TAILLAN,シャトー デュ タイヤン,CRU BOURGEOIS EXCEPTIONNEL
CHÂTEAU LESTAGE,LISTRAC-MÉDOC,CHATEAU LESTAGE,シャトー レスタージュ,CRU BOURGEOIS EXCEPTIONNEL
CHÂTEAU D’ARSAC,MARGAUX,CHATEAU D'ARSAC,シャトー ダルサック,CRU BOURGEOIS EXCEPTIONNEL
CHÂTEAU PAVEIL DE LUZE,MARGAUX,CHATEAU PAVEIL DE LUZE,シャトー パヴェイユ ド リューズ,CRU BOURGEOIS EXCEPTIONNEL
CHÂTEAU LE BOSCQ,SAINT-ESTÈPHE,CHATEAU LE BOSCQ,シャトー ル ボスク,CRU BOURGEOIS EXCEPTIONNEL
CHÂTEAU LE CROCK,SAINT-ESTÈPHE,CHATEAU LE CROCK,シャトー ル クロック,CRU BOURGEOIS EXCEPTIONNEL
CHÂTEAU LILIAN LADOUYS,SAINT-ESTÈPHE,CHATEAU LILIAN LADOUYS,シャトー リリアン ラドゥイ,CRU BOURGEOIS EXCEPTIONNEL
CHÂTEAU LA BRANNE,MÉDOC,CHATEAU LA BRANNE,シャトー ラ ブランヌ,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU LA CARDONNE,MÉDOC,CHATEAU LA CARDONNE,シャトー ラ カルドンヌ,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU CASTERA,MÉDOC,CHATEAU CASTERA,シャトー カステラ,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU FLEUR LA MOTHE,MÉDOC,CHATEAU FLEUR LA MOTHE,シャトー フルール ラ モット,CRU BOURGEOIS SUPÉRIEUR
CHÂTEAU FLEUR LA MOTHE,MÉDOC,CHATEAU FLEUR LA MOTHE,シャトー フルール ラ モス,CRU BOURGEOIS SUPÉRIEUR
